pocnodendx;Pocrefid;Node
1;1;H17NC03MEA1
2;1;H17NC03MEA9
3;1;H17NC03MEB0
4;1;H17NC03MEB9
5;2;H65NA01XL01
6;2;H65NA04AN70
7;2;H65NA04SJ04
8;2;H65NA04SJ07
9;2;H65NA04SJ10
10;2;H65NA04SJ11
11;2;H65NA04SJ15
12;3;H05NH41AC28
13;3;H14NB03ZWB3
14;3;H19NB02MIJ0
15;3;H19NB02NIG1
16;3;H38NA07ZEH3
17;3;H57NA02EVC2
18;3;H57NC02MED3
19;3;H65NA01WL10
20;3;H65NA11SCH3
21;3;H70NB02LOG8
22;4;H06NM01DIA1
23;4;H06NM01KIB2
24;4;H06NM01KIC2
25;4;H06NM01MAA1
26;4;H06NM01MAF1
27;4;H06NM02DIB0
28;4;H06NM02DID1
29;4;H06NM02DIF1
30;4;H06NM02MMA1
31;4;H06NM02MMD0
32;4;H06NO01LOD0
33;4;H06NO01OVC1
34;4;H06NO03OVD0
35;4;H06NO03PEF0
36;4;H06NZ03LAG2
37;4;H06NZ03RIA0
38;4;H14NB01KUC1
39;4;H14NB03ZWB3
40;4;H14NE02ARB9
41;4;H14NE03IZF1
42;4;H14NH01DND9
43;4;H14NH01TIC9
44;4;H14NH03OOC1
45;4;H17NE01AAG3
46;4;H17NE01HEE3
47;4;H27NA04MED8
48;4;H27NC02BND9
49;4;H27NC03OTC7
50;4;H38NA06BRC9
51;4;H38NA07ZEG3
52;4;H43NA06TIK3
53;4;H43NA06TIK9
54;4;H57NC01WEA7
55;4;H57NC02MBG3
56;4;H70NC01KRI3
57;4;H70NC01STC3
58;4;H70NC01TEG8
59;4;H70NC03BEJ2
60;4;H70NC03SGH9
61;4;H70NC03SKF1
62;4;H70NC03SKF3
63;4;H70NC03SKF9
64;4;H70NC04BEB7
65;4;H70NC04BEC3
66;4;H70NC04BEE1
67;4;H70NC04BEE9
68;4;H85NB01VOA4
69;4;H85NB03BRD3
70;4;H85NB03ZOA2
71;5;H06NM01DIA1
72;5;H06NM01KIB2
73;5;H17NC03KEG9
74;5;H17NC04HAA9
75;6;H14NH02ANF3
76;6;H14NH02ANG7
77;6;H14NH02DEH9
78;6;H14NH02WAD3
79;7;H65NA01XL01
80;7;H65NA04AN70
81;7;H65NA04SJ04
82;7;H65NA04SJ07
83;7;H65NA04SJ10
84;7;H65NA04SJ11
85;7;H65NA04SJ15
86;8;H14ND03DEK2
87;8;H14NE02PIG8
88;8;H14NE02WIH7
89;8;H14NH02ANG7
90;8;H14NH02ANG9
91;8;H17NC01MEJ9
92;8;H27NB02PUF4
93;8;H27NB06LID9
94;8;H38NA07BRA3
95;8;H43NA04ROB4
96;8;H70NA03NIK7
97;8;H70NC01TEE9
98;8;H70ND03ZOD8
99;8;H87NA02WOD0
100;8;H87NA03NYH0
101;9;H17NC02KWC9
102;9;H17NC05ZEG7
103;9;H70NC01KRK1
104;9;H70NC04STG7
105;9;H70ND02GEE9
106;9;H70ND03BRD1
107;9;H17NC04HAA3
108;9;H17NC02KWB3
109;9;H85NB02ZOC1
110;9;H85NB02RAD1
111;9;H17NE01HEC3
112;9;H17NE02SCB7
113;9;H70NB03LEL9
114;9;H70NB03LEL3
115;9;H87NA03LRA2
116;9;H87NA03LRC3
117;9;H14NB01KOA2
118;9;H14NB01KOA7
119;9;H70NB02BUC7
120;9;H70NB02PUE1
121;9;H70NC01TEE9
122;9;H70NC01STH4
123;9;H70NB01HAE9
124;9;H70NB02BOJ1
125;9;H85NB02RAF1
126;9;H85NB02RAE4
127;9;H85NB01GRC1
128;9;H85NB01ZAD9
129;9;H06NM02DIC1
130;9;H06NM02MMC0
131;9;H06NM02MMI0
132;9;H06NM01MAD1
133;9;H85NB02ZOB1
134;9;H85NB01GRC4
135;9;H70ND02GED2
136;9;H70ND01HEE9
137;9;H06NO03OVD1
138;9;H06NO02NEA2
139;9;H14NB03KOD8
140;9;H14NB03ZWB7
141;9;H19NA01TOA0
142;9;H06NM03OPC0
143;9;H06NM02DID2
144;9;H70NC03SGH3
145;9;H70NC01KRI4
146;9;H17NE01HED3
147;9;H14NH01TIFB
148;9;H14NH03WAD7
149;9;H85NB02ZOA3
150;9;H85NB02ZAD3
151;9;H70NB03DEB9
152;9;H14NB01KUD3
153;9;H14NB01KOB2
154;9;H70NC02STE3
155;9;H70NC03SKD3
156;9;H14NB01KOB1
157;9;H14NB01KUC8
158;9;H70NB02LOH4
159;9;H70NB02LOH3
160;9;H70NB02PUE8
161;9;H70NB02LOC1
162;9;H06NM02MMH2
163;9;H06NM01KIA1
164;9;H57NC01LEG9
165;9;H57NC02WEA7
166;9;H87NA02BOB9
167;9;H87NA01HOA2
168;9;H06NO03PEF1
169;9;H06NO01LOI0
170;9;H27NC02RAA9
171;9;H27NC01MPF1
172;9;H70NC04BEA9
173;9;H70NC04STG8
174;9;H06NO02BTC2
175;9;H06NO01OVB1
176;9;H70NB03DEF9
177;9;H70NB03OPK1
178;9;H70NB02BOK8
179;9;H70NB01HAD7
180;9;H27NA01GEA1
181;9;H27NA04BAA9
182;9;H06NM03MGD0
183;9;H06NM02MME2
184;10;H85NB01GRC9
185;10;H85NB02ZAA9
186;10;H70NC02STA2
187;10;H70NC04BEC9
188;10;H14NB03AVI7
189;10;H14NB03AVJ2
