ndx;Pocrefid;Daterefid;Pocnoderefid;Modemcount;Redcount;Yellowcount;Greencount;Dindex;Selcount;Globalrank;HErank;USSG;BWUS
1;1;61;1;283;2;2;279;99.12;2.5;2801;79;UH17MECH2C2;71.99
2;1;61;2;212;1;1;210;99.41;1.25;4707;148;UH17MECH2C4;74.82
3;1;61;3;122;0;0;122;100;0;6785;187;UH17MECH2A6;75
4;1;61;4;85;0;0;85;100;0;6794;196;UH17MECH2A8;75
5;2;61;5;4;0;0;4;100;0;6866;521;UH65SCHA993;75
6;2;61;6;12;0;0;12;100;0;6858;513;UH65SCHA7A8;75
7;2;61;7;211;50;36;125;72.04;59;83;10;UH65SCHA992;74.97
8;2;61;8;184;25;13;146;84.65;28.25;229;40;UH65SCHA7A9;75
9;2;61;9;170;33;10;127;79.12;35.5;173;25;UH65SCHA9BE;70.38
10;2;61;10;181;41;19;121;74.72;45.75;124;14;UH65SCHA99E;75
11;2;61;11;94;3;1;90;96.54;3.25;2039;391;UH65SCHA9BF;75
12;3;61;12;412;6;12;394;97.82;9;699;14;UH05HOBO3A5;73.3
13;3;61;13;642;1;0;641;99.84;1;5160;88;UH14KORT1C5;73.6
14;3;61;14;694;12;5;677;98.09;13.25;502;4;UH19MIDD1D8;100
15;3;61;15;855;8;6;841;98.89;9.5;663;6;UH19MIDD1D4;100
16;3;61;16;634;1;6;627;99.61;2.5;2658;95;UH38BRUG295;75
17;3;61;17;495;4;6;485;98.89;5.5;1138;14;UH57EEKL2CC;75
18;3;61;18;423;1;7;415;99.35;2.75;2616;32;UH57MELL1C8;75
19;3;61;19;525;19;7;499;96.05;20.75;330;70;UH65SCHA5D2;75
20;3;61;20;432;53;53;326;84.66;66.25;72;9;UH65SCHA2D7;75
21;3;61;21;617;3;2;612;99.43;3.5;1898;36;UH70DEND19B;75
22;4;61;46;650;4;4;642;99.23;5;1277;15;UH17AARS1B3;75
23;4;61;45;338;1;1;336;99.63;1.25;4353;44;UH17AARS1B2;75
24;4;61;36;518;2;1;515;99.57;2.25;3020;37;UH06BILZ2C0;100
25;4;61;37;495;1;2;492;99.7;1.5;3911;62;UH06BILZ2C1;100
26;4;61;51;625;4;1;620;99.32;4.25;1573;48;UH38BRUG2C9;75
27;4;61;50;357;1;0;356;99.72;1;4871;259;UH38BRUG2C8;75
28;4;61;47;452;1;0;451;99.78;1;4959;95;UH27GEEL2AD;75
29;4;61;38;355;6;3;346;98.1;6.75;926;10;UH14KORT1C4;73.03
30;4;61;13;642;1;0;641;99.84;1;5160;88;UH14KORT1C5;73.6
31;4;61;52;291;157;74;60;39.69;175.5;14;2;UH17LEUV2C8;58.55
32;4;61;53;530;4;11;515;98.73;6.75;927;16;UH17LEUV2C9;75
33;4;61;31;425;5;1;419;98.76;5.25;1267;16;UH06MAAS1BB;100
34;4;61;26;435;3;5;427;99.02;4.25;1630;19;UH06MAAS2C0;86.25
35;4;61;22;596;3;4;589;99.33;4;1698;21;UH06MAAS1D4;99.97
36;4;61;30;437;3;2;432;99.2;3.5;1960;28;UH06MAAS1B4;100
37;4;61;27;472;3;2;467;99.26;3.5;1962;30;UH06MAAS1CA;100
38;4;61;23;433;2;0;431;99.54;2;3529;62;UH06MAAS1D5;100
39;4;61;29;481;2;0;479;99.58;2;3533;66;UH06MAAS1B5;100
40;4;61;25;491;1;2;488;99.69;1.5;4050;71;UH06MAAS2C1;100
41;4;61;28;484;1;1;482;99.74;1.25;4677;76;UH06MAAS1CB;100
42;4;61;24;522;1;1;520;99.76;1.25;4685;84;UH06MAAS1BA;100
43;4;61;55;430;3;3;424;99.13;3.75;1856;24;UH57MELL1D6;75
44;4;61;54;452;2;1;449;99.5;2.25;3240;39;UH57MELL1D7;75
45;4;61;35;468;12;23;433;96.21;17.75;382;2;UH06OVER2CB;99.9
46;4;61;32;448;3;0;445;99.33;3;2412;22;UH06OVER2D2;100
47;4;61;34;388;1;2;385;99.61;1.5;4079;45;UH06OVER2CA;100
48;4;61;33;449;1;0;448;99.78;1;5253;57;UH06OVER2D3;100
49;4;61;40;637;5;6;626;98.98;6.5;967;41;UH14ROES2CD;75
50;4;61;41;379;2;1;376;99.41;2.25;3275;89;UH14ROES2CC;75
51;4;61;67;285;33;1;251;88.33;33.25;184;3;UH70NIKL3B2;75
52;4;61;60;531;14;74;443;93.88;32.5;188;4;UH70NIKL3C3;68.62
53;4;61;65;501;9;51;441;95.66;21.75;312;8;UH70NIKL1BA;74.71
54;4;61;63;560;4;10;546;98.84;6.5;986;15;UH70NIKL3B3;74.68
55;4;61;57;542;4;1;537;99.22;4.25;1538;42;UH70NIKL1B5;75
56;4;61;59;438;3;2;433;99.2;3.5;2019;54;UH70NIKL1BB;75
57;4;61;56;589;3;1;585;99.45;3.25;2071;63;UH70NIKL3B1;75
58;4;61;61;343;2;2;339;99.27;2.5;2858;78;UH70NIKL3B0;75
