Date,Node,HE Rank<br> op 202,Glob Rank<br> op +/- 7200,Selcount,DiceIndex,Red,Yellow,Green,US Group,US Avail%
1/21/2025,H14NB03AVI7,69,3734,7.33,97.72,7,1,313,,0
1/21/2025,H14NB03AVJ2,37,1915,25.33,95.42,12,40,501,,0
1/21/2025,H70NC02STA2,28,695,59.67,81.81,4,167,157,,0
1/21/2025,H70NC04BEC9,46,1264,40,92.79,37,9,509,,0
1/21/2025,H85NB01GRC9,40,2533,15,97.07,13,6,493,,0
1/21/2025,H85NB02ZAA9,31,1966,24,94.77,14,30,415,,0
1/20/2025,H14NB03AVI7,64,3070,9.33,97.09,7,7,307,,0
1/20/2025,H14NB03AVJ2,19,576,65,88.22,15,150,387,,0
1/20/2025,H70NC02STA2,38,817,54,83.44,4,150,172,,0
1/20/2025,H70NC04BEC9,22,443,72,87.03,38,102,415,,0
1/20/2025,H85NB01GRC9,36,2243,17.67,96.54,14,11,486,,0
1/20/2025,H85NB02ZAA9,10,457,71,84.53,53,54,352,,0
1/19/2025,H14NB03AVI7,76,4766,4.33,98.65,3,4,314,,0
1/19/2025,H14NB03AVJ2,11,474,71,87.09,7,192,351,,0
1/19/2025,H70NC02STA2,144,4939,4,98.77,3,3,319,,0
1/19/2025,H70NC04BEC9,132,4320,5,99.1,4,3,548,,0
1/19/2025,H85NB01GRC9,43,2759,11.33,97.78,10,4,496,,0
1/19/2025,H85NB02ZAA9,52,3105,9,98.04,7,6,446,,0
1/18/2025,H14NB03AVI7,81,4581,4.67,98.55,3,5,314,,0
1/18/2025,H14NB03AVJ2,10,394,72,86.91,8,192,350,,0
1/18/2025,H70NC02STA2,146,4695,4.33,98.66,4,1,319,,0
1/18/2025,H70NC04BEC9,127,4030,6,98.92,3,9,543,,0
1/18/2025,H85NB01GRC9,17,952,47.67,90.69,9,116,387,,0
1/18/2025,H85NB02ZAA9,55,3371,8,98.25,7,3,448,,0
1/17/2025,H14NB03AVI7,50,3104,9,97.2,2,21,299,,0
1/17/2025,H14NB03AVJ2,36,1952,22.67,95.89,7,47,497,,0
1/17/2025,H70NC02STA2,37,976,47.67,85.38,3,134,189,,0
1/17/2025,H70NC04BEC9,139,4221,5.33,99.04,3,7,544,,0
1/17/2025,H85NB01GRC9,32,2329,15.33,97.01,10,16,487,,0
1/17/2025,H85NB02ZAA9,66,3905,6.33,98.62,5,4,449,,0
1/16/2025,H14NB03AVI7,91,5330,3.33,98.96,1,7,312,,0
1/16/2025,H14NB03AVJ2,44,2585,12.33,97.77,6,19,529,,0
1/16/2025,H70NC02STA2,33,1032,44,86.54,3,123,201,,0
1/16/2025,H70NC04BEC9,131,4055,6,98.92,3,9,543,,0
1/16/2025,H85NB01GRC9,32,1932,22,95.69,9,39,463,,0
1/16/2025,H85NB02ZAA9,60,3554,7.33,98.4,6,4,448,,0
1/15/2025,H14NB03AVI7,96,5924,2.67,99.17,1,5,314,,0
1/15/2025,H14NB03AVJ2,47,2621,14.33,97.4,6,25,521,,0
1/15/2025,H70NC02STA2,23,789,56,82.87,5,153,169,,0
1/15/2025,H70NC04BEC9,22,771,56.67,89.79,3,161,391,,0
1/15/2025,H85NB01GRC9,40,2880,11.67,97.72,10,5,496,,0
1/15/2025,H85NB02ZAA9,64,3746,7.33,98.4,6,4,449,,0
1/14/2025,H14NB03AVI7,61,3494,9,97.18,3,18,298,,0
1/14/2025,H14NB03AVJ2,62,3495,9,98.37,5,12,535,,0
1/14/2025,H70NC02STA2,44,1173,45.67,86.03,4,125,198,,0
