ndx,tdate,Node,Modemcount,Redcount,Yellowcount,Greencount,Dindex,Selcount,Globalrank,HErank,USSG,BWUS
1,2024-01-01,H06NM01DIA1,591,14,12,565,96.95,18,2382,40,UH06MAAS1D4,99.93
2,2024-01-01,H06NM01KIB2,424,8,194,222,82.86,72.67,550,16,UH06MAAS1D5,100
3,2024-01-01,H06NM01KIC2,520,10,127,383,89.94,52.33,999,20,UH06MAAS1BA,99.29
4,2024-01-01,H06NM01MAA1,486,6,10,470,98.08,9.33,3394,48,UH06MAAS2C1,100
5,2024-01-01,H06NM01MAF1,421,5,9,407,98.1,8,3716,56,UH06MAAS2C0,100
6,2024-01-01,H06NM02DIB0,468,8,4,456,98.01,9.33,3395,49,UH06MAAS1CA,100
7,2024-01-01,H06NM02DID1,482,5,4,473,98.69,6.33,4309,69,UH06MAAS1CB,100
8,2024-01-01,H06NM02DIF1,479,1,4,474,99.51,2.33,6290,110,UH06MAAS1B5,100
9,2024-01-01,H06NM02MMA1,430,17,6,407,95.58,19,2315,38,UH06MAAS1B4,100
10,2024-01-01,H06NM02MMD0,422,5,2,415,98.66,5.67,4598,78,UH06MAAS1BB,100
11,2024-01-01,H06NO01LOD0,443,11,358,74,70.58,130.33,69,3,UH06OVER2D2,97.25
12,2024-01-01,H06NO01OVC1,443,2,2,439,99.4,2.67,6088,89,UH06OVER2D3,100
13,2024-01-01,H06NO03OVD0,384,2,3,379,99.22,3,5985,88,UH06OVER2CA,100
14,2024-01-01,H06NO03PEF0,465,4,20,441,97.71,10.67,3122,41,UH06OVER2CB,100
15,2024-01-01,H06NZ03LAG2,509,12,1,496,97.58,12.33,2866,25,UH06BILZ2C0,100
16,2024-01-01,H06NZ03RIA0,484,3,6,475,98.97,5,4859,71,UH06BILZ2C1,100
17,2024-01-01,H14NB01KUC1,351,10,174,167,80.63,68,627,10,UH14KORT1C4,54.1
18,2024-01-01,H14NB03ZWB3,632,13,436,183,74.95,158.33,35,2,UH14KORT1C5,63.8
19,2024-01-01,H14NE02ARB9,632,27,30,575,94.15,37,1489,41,UH14ROES2CD,75
20,2024-01-01,H14NE03IZF1,371,1,2,368,99.55,1.67,6470,150,UH14ROES2CC,75
21,2024-01-01,H14NH01DND9,558,22,19,517,94.92,28.33,1829,38,UH14WARE2CB,75
22,2024-01-01,H14NH01TIC9,404,14,101,289,88.2,47.67,1136,27,UH14WARE2C2,74.84
23,2024-01-01,H14NH03OOC1,592,7,6,579,98.48,9,3451,70,UH14WARE2C3,75
24,2024-01-01,H17NE01AAG3,329,1,6,322,99.09,3,5866,56,UH17AARS1B2,75
25,2024-01-01,H17NE01HEE3,641,15,15,611,96.88,20,2240,29,UH17AARS1B3,75
26,2024-01-01,H27NA04MED8,443,3,9,431,98.65,6,4356,68,UH27GEEL2AD,75
27,2024-01-01,H27NC02BND9,540,7,10,523,98.09,10.33,3161,57,UH27TURN2DD,75
28,2024-01-01,H27NC03OTC7,363,7,2,354,97.89,7.67,3777,65,UH27TURN2DC,75
29,2024-01-01,H38NA06BRC9,344,2,2,340,99.22,2.67,6015,322,UH38BRUG2C8,75
30,2024-01-01,H38NA07ZEG3,621,19,459,143,72.3,172,25,2,UH38BRUG2C9,75
31,2024-01-01,H43NA06TIK3,287,6,151,130,80.37,56.33,888,18,UH17LEUV2C8,75
32,2024-01-01,H43NA06TIK9,521,16,101,404,90.47,49.67,1077,21,UH17LEUV2C9,74.59
33,2024-01-01,H57NC01WEA7,437,7,149,281,87.03,56.67,874,12,UH57MELL1D7,75
34,2024-01-01,H57NC02MBG3,428,10,13,405,96.65,14.33,2681,34,UH57MELL1D6,75
35,2024-01-01,H70NC01KRI3,572,8,81,483,93.88,35,1562,61,UH70NIKL3B1,74.95
36,2024-01-01,H70NC01STC3,534,8,8,518,98,10.67,3134,103,UH70NIKL1B5,75
37,2024-01-01,H70NC01TEG8,262,1,2,259,99.36,1.67,6487,192,UH70NIKL1B4,75
38,2024-01-01,H70NC03BEJ2,434,8,81,345,91.94,35,1563,62,UH70NIKL1BB,75
39,2024-01-01,H70NC03SGH9,523,3,217,303,85.6,75.33,512,24,UH70NIKL3C3,72.17
40,2024-01-01,H70NC03SKF1,337,9,47,281,92.68,24.67,2018,69,UH70NIKL3B0,75
41,2024-01-01,H70NC03SKF3,383,3,32,348,96.43,13.67,2723,91,UH70NIKL3C2,75
42,2024-01-01,H70NC03SKF9,548,14,298,236,79.32,113.33,150,9,UH70NIKL3B3,72.4
43,2024-01-01,H70NC04BEB7,371,6,3,362,98.11,7,3982,135,UH70NIKL1DE,75
44,2024-01-01,H70NC04BEC3,495,5,203,287,85.32,72.67,552,26,UH70NIKL1BA,75
45,2024-01-01,H70NC04BEE1,509,4,3,502,99.02,5,4809,152,UH70NIKL1DF,75
46,2024-01-01,H70NC04BEE9,286,0,1,285,99.88,0.33,6931,200,UH70NIKL3B2,75
47,2024-01-01,H85NB01VOA4,396,0,4,392,99.66,1.33,6729,98,UH85ZOER2D7,75
48,2024-01-01,H85NB03BRD3,522,14,108,400,90.42,50,1070,22,UH85ZOER2D6,75
49,2024-01-01,H85NB03ZOA2,267,2,1,264,99.13,2.33,6178,95,UH85ZOER1B0,75
50,2024-01-02,H06NM01DIA1,591,12,353,226,78.06,129.67,119,3,UH06MAAS1D4,97.53
51,2024-01-02,H06NM01KIB2,424,9,5,410,97.48,10.67,3581,48,UH06MAAS1D5,100
52,2024-01-02,H06NM01KIC2,520,10,306,204,78.46,112,213,8,UH06MAAS1BA,99.97
53,2024-01-02,H06NM01MAA1,486,7,92,387,92.25,37.67,1836,27,UH06MAAS2C1,100
54,2024-01-02,H06NM01MAF1,423,5,73,345,93.07,29.33,2214,31,UH06MAAS2C0,100
55,2024-01-02,H06NM02DIB0,468,9,4,455,97.79,10.33,3609,49,UH06MAAS1CA,100
56,2024-01-02,H06NM02DID1,483,6,6,471,98.34,8,4122,61,UH06MAAS1CB,99.64
57,2024-01-02,H06NM02DIF1,479,2,1,476,99.51,2.33,6340,112,UH06MAAS1B5,100
58,2024-01-02,H06NM02MMA1,430,16,6,408,95.81,18,2789,40,UH06MAAS1B4,100
59,2024-01-02,H06NM02MMD0,422,5,3,414,98.58,6,4792,72,UH06MAAS1BB,100
60,2024-01-02,H06NO01LOD0,443,11,371,61,69.6,134.67,106,3,UH06OVER2D2,98.62
61,2024-01-02,H06NO01OVC1,444,2,28,414,97.45,11.33,3469,39,UH06OVER2D3,100
62,2024-01-02,H06NO03OVD0,384,2,17,365,98,7.67,4186,49,UH06OVER2CA,100
63,2024-01-02,H06NO03PEF0,466,3,69,394,94.42,26,2377,29,UH06OVER2CB,100
