ndx,tdate,Node,Modemcount,Redcount,Yellowcount,Greencount,Dindex,Selcount,Globalrank,HErank,USSG,BWUS
1,2024-01-01,H65NA01XL01,2,0,0,2,100,0,7041,523,UH65SCHA993,75
2,2024-01-01,H65NA04AN70,8,0,0,8,100,0,7049,531,UH65SCHA7A8,75
3,2024-01-01,H65NA04SJ04,216,68,98,50,53.4,100.67,220,18,UH65SCHA992,68.33
4,2024-01-01,H65NA04SJ07,172,45,12,115,71.51,49,1099,97,UH65SCHA7A9,75
5,2024-01-01,H65NA04SJ10,169,48,80,41,55.82,74.67,522,45,UH65SCHA9BE,68.56
6,2024-01-01,H65NA04SJ11,174,47,49,78,63.6,63.33,715,67,UH65SCHA99E,75
7,2024-01-01,H65NA04SJ15,93,5,2,86,93.91,5.67,4474,416,UH65SCHA9BF,69.56
8,2024-01-02,H65NA01XL01,2,0,0,2,100,0,7013,522,UH65SCHA993,75
9,2024-01-02,H65NA04AN70,8,0,0,8,100,0,7022,531,UH65SCHA7A8,75
10,2024-01-02,H65NA04SJ04,217,61,104,52,55.91,95.67,350,23,UH65SCHA992,68.74
11,2024-01-02,H65NA04SJ07,173,44,11,118,72.45,47.67,1424,108,UH65SCHA7A9,75
12,2024-01-02,H65NA04SJ10,171,49,74,48,56.92,73.67,707,46,UH65SCHA9BE,69.18
13,2024-01-02,H65NA04SJ11,175,47,58,70,62.1,66.33,847,53,UH65SCHA99E,75
14,2024-01-02,H65NA04SJ15,93,6,1,86,93.19,6.33,4642,394,UH65SCHA9BF,69.53
15,2024-01-03,H65NA01XL01,2,0,0,2,100,0,7006,523,UH65SCHA993,75
16,2024-01-03,H65NA04AN70,8,0,0,8,100,0,7014,531,UH65SCHA7A8,75
17,2024-01-03,H65NA04SJ04,217,65,106,46,53.76,100.33,254,20,UH65SCHA992,67.05
18,2024-01-03,H65NA04SJ07,173,40,18,115,73.41,46,1352,119,UH65SCHA7A9,75
19,2024-01-03,H65NA04SJ10,170,49,82,39,55.1,76.33,563,46,UH65SCHA9BE,68.99
20,2024-01-03,H65NA04SJ11,174,45,49,80,64.75,61.33,885,77,UH65SCHA99E,75
21,2024-01-03,H65NA04SJ15,93,4,2,87,94.98,4.67,5083,437,UH65SCHA9BF,75
22,2024-01-04,H65NA01XL01,2,0,0,2,100,0,6998,519,UH65SCHA993,75
23,2024-01-04,H65NA04AN70,8,0,0,8,100,0,7010,531,UH65SCHA7A8,75
24,2024-01-04,H65NA04SJ04,216,68,103,45,52.62,102.33,216,17,UH65SCHA992,67.25
25,2024-01-04,H65NA04SJ07,174,38,15,121,75.29,43,1301,124,UH65SCHA7A9,75
26,2024-01-04,H65NA04SJ10,170,52,75,43,54.71,77,474,43,UH65SCHA9BE,69.6
27,2024-01-04,H65NA04SJ11,174,52,45,77,61.49,67,666,64,UH65SCHA99E,75
28,2024-01-04,H65NA04SJ15,93,4,4,85,94.27,5.33,4640,412,UH65SCHA9BF,75
29,2024-01-05,H65NA01XL01,2,0,0,2,100,0,7045,522,UH65SCHA993,75
30,2024-01-05,H65NA04AN70,8,0,0,8,100,0,7054,531,UH65SCHA7A8,75
31,2024-01-05,H65NA04SJ04,220,73,103,44,51.21,107.33,169,13,UH65SCHA992,67.57
32,2024-01-05,H65NA04SJ07,174,41,13,120,73.95,45.33,1289,118,UH65SCHA7A9,75
33,2024-01-05,H65NA04SJ10,170,44,83,43,57.84,71.67,589,58,UH65SCHA9BE,69.68
34,2024-01-05,H65NA04SJ11,177,47,28,102,68.17,56.33,939,84,UH65SCHA99E,75
35,2024-01-05,H65NA04SJ15,93,4,2,87,94.98,4.67,5189,441,UH65SCHA9BF,75
36,2024-01-06,H65NA01XL01,2,0,0,2,100,0,7004,522,,0
37,2024-01-06,H65NA04AN70,8,0,0,8,100,0,7013,531,,0
38,2024-01-06,H65NA04SJ04,219,74,95,50,51.75,105.67,159,11,,0
39,2024-01-06,H65NA04SJ07,175,40,19,116,73.52,46.33,1092,112,,0
40,2024-01-06,H65NA04SJ10,170,44,80,46,58.43,70.67,513,43,,0
41,2024-01-06,H65NA04SJ11,176,50,39,87,64.2,63,659,62,,0
42,2024-01-06,H65NA04SJ15,93,4,4,85,94.27,5.33,4575,420,,0
43,2024-01-07,H65NA01XL01,2,0,0,2,100,0,7041,522,,0
44,2024-01-07,H65NA04AN70,8,0,0,8,100,0,7050,531,,0
45,2024-01-07,H65NA04SJ04,220,76,104,40,49.7,110.67,167,6,,0
46,2024-01-07,H65NA04SJ07,175,41,14,120,73.9,45.67,1353,143,,0
47,2024-01-07,H65NA04SJ10,168,49,79,40,55.16,75.33,576,53,,0
48,2024-01-07,H65NA04SJ11,174,50,32,92,65.13,60.67,899,82,,0
49,2024-01-07,H65NA04SJ15,89,5,1,83,94.01,5.33,4976,430,,0
50,2024-01-08,H65NA01XL01,2,0,0,2,100,0,7050,522,UH65SCHA993,75
51,2024-01-08,H65NA04AN70,8,0,0,8,100,0,7059,531,UH65SCHA7A8,75
52,2024-01-08,H65NA04SJ04,221,80,104,37,48.11,114.67,142,9,UH65SCHA992,65.89
53,2024-01-08,H65NA04SJ07,174,40,14,120,74.33,44.67,1463,168,UH65SCHA7A9,75
54,2024-01-08,H65NA04SJ10,168,57,88,23,48.61,86.33,428,38,UH65SCHA9BE,67.24
